Thời gian xảy ra tai nạn,Ngày xảy ra tai nạn,Quận/Huyện,Phường/Xã,Loại đường,Số người chết,Số người bị thương,Số người thương nặng,Số người thương nhẹ,Nhóm PT1,Phương tiện 1,Nhóm PT2,Phương tiện 2,Thiệt hại ước tính (triệu đồng),Phân loại tai nạn,Tình trạng thời tiết,Hình thức va chạm,Dạng đường,Loại mặt đường,Độ rộng đường,Tình trạng mặt đường,Tổ chức giao thông,Vòng xuyến,Nguyên nhân và Lỗi vi phạm
23:50:00,14/12/2021,Thủ Đức,Linh Tây,Đường tỉnh - Nội thị,0,1,1,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,0,Va chạm giao thông,Râm,Phương tiện tự gây tai nạn,,Bê tông nhựa,,,,Không,['Không chú ý quan sát']
17:40:00,14/12/2021,Bình Chánh,Đa Phước,Quốc lộ - Nội thị,0,0,0,0,Ô tô con,Ô tô con,"Rơ mooc, Sơ mi rơ mooc",Rơ moóc,4,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường hai chiều,Không,['Lùi xe không đúng quy định']
16:37:00,14/12/2021,Bình Tân,Bình Hưng Hòa A,Đường huyện,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,2,Va chạm giao thông,Râm,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Vượt xe không đúng quy định']
12:20:00,14/12/2021,Bình Tân,Bình Hưng Hòa B,Quốc lộ - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô tải,Ô tô tải,4,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Chuyển hướng không đúng quy định']
3:30:00,14/12/2021,Bình Tân,Tân Tạo A,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,2,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không chú ý quan sát']
2:15:00,14/12/2021,Thủ Đức,Hiệp Bình Phước,Quốc lộ,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,5,Nghiêm trọng,Đêm tối,Phương tiện tự gây tai nạn,,,,,,Không,['Không chú ý quan sát']
21:15:00,13/12/2021,12,Tân Thới Hiệp,Khác,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,Đầu kéo,0,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường hai chiều,Không,['Chuyển hướng không đúng quy định']
19:50:00,13/12/2021,Bình Chánh,Phong Phú,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,3,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,,,,,,Không,"['Không chú ý quan sát', 'Không thực hiện đúng quy trình thao tác lái xe']"
12:00:00,13/12/2021,7,Tân Phú,Đường huyện,0,1,1,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,"Xitéc chở xăng, dầu",0,Va chạm giao thông,Nắng,Xe với xe,,,,,,Không,['Vượt xe không đúng quy định']
11:30:00,13/12/2021,Phú Nhuận,8,Đường tỉnh,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,Ô tô tải,5,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Lớn hơn 19,5m",Khô,,Không,['Không chú ý quan sát']
10:30:00,13/12/2021,Bình Tân,Tân Tạo,Đường tỉnh - Nội thị,0,0,0,0,Ô tô tải,Tải có mui,Ô tô con,Ô tô con,4,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 13,0m đến 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Chuyển hướng không đúng quy định']
10:20:00,13/12/2021,1,Nguyễn Cư Trinh,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh,,,3,Va chạm giao thông,Nắng,Phương tiện tự gây tai nạn,,,,,,Không,"['Không chú ý quan sát', 'Không thực hiện đúng quy trình thao tác lái xe']"
2:50:00,13/12/2021,12,Tân Thới Hiệp,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô tải,Ô tô chở hàng (Ô tô tải),4.5,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
1:10:00,13/12/2021,9,Phú Hữu,Đường huyện - Nội thị,0,0,0,0,Ô tô chuyên dụng,Trộn bê tông,Ô tô tải,Bán tải,2,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Lớn hơn 19,5m",Khô,Đường hai chiều,Có,['Vượt xe không đúng quy định']
23:05:00,12/12/2021,2,Thủ Thiêm,Đường huyện - Nội thị,0,0,0,0,Ô tô tải,Tải có mui,"Mô tô, xe máy",Hai bánh từ 50-175cm3,4,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Lớn hơn 19,5m",Khô,Đường hai chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
22:30:00,12/12/2021,Bình Tân,Bình Hưng Hòa A,Đường huyện - Nội thị,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Rơ mooc, Sơ mi rơ mooc",Sơ mi rơ moóc,3,Nghiêm trọng,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,"['Không chấp hành quy định nhường đường tại nơi giao nhau', 'Không chấp hành báo hiệu đường bộ']"
21:45:00,12/12/2021,Bình Thạnh,28,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,0.5,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông xi măng,"Từ 3,5m đến 5,5m",Khô,Đường hai chiều,Không,"['Mệt mỏi, ngủ gật']"
20:45:00,12/12/2021,12,Thạnh Lộc,Đường huyện - Nội thị,0,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,4.5,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông xi măng,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
18:00:00,12/12/2021,Bình Tân,Bình Trị Đông B,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,2,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
15:40:00,12/12/2021,Bình Thạnh,26,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,0,Va chạm giao thông,Nắng,Xe với xe,,,,,,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
15:24:00,12/12/2021,1,Bến Nghé,Đường huyện - Nội thị,0,1,1,0,"Mô tô, xe máy",Mô tô,,,1,Ít nghiêm trọng,Nắng,Phương tiện tự gây tai nạn,,,,,,Không,['Không chú ý quan sát']
22:10:00,11/12/2021,Củ Chi,Phú Hòa Đông,Đường tỉnh - Nông thôn,0,2,0,2,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,4,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,Cong cua,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
22:00:00,11/12/2021,Bình Tân,Bình Trị Đông B,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,1,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,['Không chú ý quan sát']
21:00:00,11/12/2021,Hóc Môn,Tân Thới Nhì,Đường huyện - Nội thị,0,2,0,2,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,3,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
18:00:00,11/12/2021,1,Bến Nghé,Đường huyện - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô con,Ô tô con,4,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Lớn hơn 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
17:30:00,11/12/2021,12,Hiệp Thành,Đường huyện - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,1.5,Va chạm giao thông,Đêm tối,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường hai chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
15:00:00,11/12/2021,2,Thảo Điền,Đường huyện - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô con,Ô tô con,0,Va chạm giao thông,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường hai chiều,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
11:30:00,11/12/2021,Tân Bình,4,Đường tỉnh - Nội thị,1,0,0,0,Ô tô tải,"Tải có mui,nâng HH","Mô tô, xe máy",Hai bánh từ 50-175cm3,0,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng - Cầu,Bê tông nhựa,,Khô,Đường hai chiều,Không,['Vượt xe không đúng quy định']
7:10:00,11/12/2021,Củ Chi,Tân Thạnh Đông,Đường tỉnh - Nông thôn,1,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,"Mô tô, xe máy",Hai bánh từ 50-175cm3,0,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 9,0m đến 13,0m",Khô,Đường hai chiều,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
0:30:00,11/12/2021,Bình Chánh,Tân Túc,Quốc lộ - Nội thị,0,1,0,1,"Mô tô, xe máy",Hai bánh từ 50-175cm3,,,1,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,Thẳng - Phẳng,Bê tông nhựa,"Lớn hơn 19,5m",Khô,Đường đôi - Giải phân cách ở giữa,Không,['Không chấp hành quy định về tốc độ']
0:10:00,11/12/2021,4,3,Đường huyện - Nội thị,1,0,0,0,"Mô tô, xe máy",Hai bánh từ 50-175cm3,Ô tô con,Ô tô taxi,3,Nghiêm trọng,Nắng,Xe với xe,,,,,,Không,['Không giữ khoảng cách an toàn với xe chạy liền trước']
20:30:00,10/12/2021,1,Nguyễn Cư Trinh,Đường huyện - Nội thị,0,0,0,0,Ô tô con,Ô tô con,,,4,Va chạm giao thông,Đêm tối,Phương tiện tự gây tai nạn,,,,,,Không,['Không chú ý quan sát']
12:25:00,10/12/2021,Thủ Đức,Tam Phú,Đường huyện,1,0,0,0,PT đường bộ khác,Xe khác,"Mô tô, xe máy",Hai bánh từ 50-175cm3,5,Nghiêm trọng,Nắng,Xe với xe,Thẳng - Phẳng,Bê tông nhựa,"Từ 5,5m đến 9,0m",Khô,Đường đôi - Vạch dọc liền ở giữa,Không,"['Đi không đúng chiều đường, phần đường, làn đường quy định']"
11:00:00,10/12/2021,4,13,Đường tỉnh - Nội thị,0,0,0,0,Ô tô con,Ô tô con,Ô tô con,Ô tô con,4,Va chạm giao thông,Nắng,Xe với xe,,,,,,Không,['Không chú ý quan sát']
